,Crop,Crop_Year,Season,State,Annual_Rainfall,Yield,Fertilizer_per_ha,Pesticide_per_ha
40,horse-gram,1997,kharif,karnataka,1266.7,0.45,95.16999999999999,0.31
41,horse-gram,1997,rabi,karnataka,1266.7,0.514705882,95.17,0.31
42,jowar,1997,kharif,karnataka,1266.7,1.228,95.16999999999999,0.31
43,jowar,1997,rabi,karnataka,1266.7,0.510714286,95.16999997335415,0.31
44,jowar,1997,summer,karnataka,1266.7,2.470909091,95.17,0.31
45,maize,1997,kharif,karnataka,1266.7,2.687777778,95.17,0.31
46,maize,1997,rabi,karnataka,1266.7,1.98,95.17000000000002,0.31
47,maize,1997,summer,karnataka,1266.7,2.165714286,95.17,0.31
48,ragi,1997,kharif,karnataka,1266.7,1.191333333,95.16999999999999,0.31
49,ragi,1997,rabi,karnataka,1266.7,1.312222222,95.17,0.31
50,ragi,1997,summer,karnataka,1266.7,1.847777778,95.17,0.31
51,rice,1997,kharif,karnataka,1266.7,2.2335,95.16999999999999,0.31
52,rice,1997,rabi,karnataka,1266.7,2.073846154,95.17,0.31
53,rice,1997,summer,karnataka,1266.7,2.829444444,95.17,0.31
54,sugarcane,1997,whole year,karnataka,1266.7,91.74736842,95.17,0.31
55,turmeric,1997,whole year,karnataka,1266.7,4.452941176,95.17,0.31
56,wheat,1997,rabi,karnataka,1266.7,0.548333333,95.17,0.31
58,black pepper,1997,whole year,kerala,3252.4,0.240714286,95.17,0.31
59,cashewnut,1997,whole year,kerala,3252.4,0.589285714,95.17,0.31
61,tapioca,1997,whole year,kerala,3252.4,22.80357143,95.17,0.31
63,arhar/tur,1997,kharif,meghalaya,3818.2,0.806666667,95.17,0.31
64,banana,1997,whole year,meghalaya,3818.2,11.20714286,95.17,0.31
65,castor seed,1997,rabi,meghalaya,3818.2,0.49,95.17,0.31
66,cotton(lint),1997,kharif,meghalaya,3818.2,0.796666667,95.17,0.31
67,dry chillies,1997,whole year,meghalaya,3818.2,0.64,95.17,0.31
68,ginger,1997,kharif,meghalaya,3818.2,6.054285714,95.16999999999999,0.31
69,gram,1997,rabi,meghalaya,3818.2,0.613333333,95.17,0.31000000000000005
70,jute,1997,kharif,meghalaya,3818.2,8.436666667,95.17,0.31
71,linseed,1997,kharif,meghalaya,3818.2,0.44,95.17,0.31
72,maize,1997,kharif,meghalaya,3818.2,1.444285714,95.17,0.31
73,mesta,1997,kharif,meghalaya,3818.2,4.68,95.17,0.31
74,mesta,1997,whole year,meghalaya,3818.2,0.7525,95.16999999999999,0.31000000000000005
75,other  rabi pulses,1997,rabi,meghalaya,3818.2,0.777142857,95.17,0.31
76,potato,1997,whole year,meghalaya,3818.2,8.641428571,95.17,0.31
77,rapeseed &mustard,1997,rabi,meghalaya,3818.2,0.608571429,95.17,0.31
78,rice,1997,kharif,meghalaya,3818.2,1.378571429,95.17,0.31
79,sesamum,1997,kharif,meghalaya,3818.2,0.575714286,95.17,0.31
80,small millets,1997,kharif,meghalaya,3818.2,0.861428571,95.17,0.31
81,soyabean,1997,kharif,meghalaya,3818.2,0.921428571,95.17,0.31
82,sugarcane,1997,whole year,meghalaya,3818.2,2.352,95.17,0.31
83,sweet potato,1997,whole year,meghalaya,3818.2,3.221428571,95.17,0.31
84,tapioca,1997,whole year,meghalaya,3818.2,6.537142857,95.17,0.31
85,tobacco,1997,rabi,meghalaya,3818.2,0.618,95.17,0.31
86,turmeric,1997,whole year,meghalaya,3818.2,5.425714286,95.17000000000002,0.31
87,wheat,1997,rabi,meghalaya,3818.2,1.385,95.17,0.31
89,arhar/tur,1997,whole year,west bengal,1852.9,0.777692308,95.16999999999999,0.31
90,bajra,1997,kharif,west bengal,1852.9,0.426666667,95.16999999999999,0.31
91,barley,1997,whole year,west bengal,1852.9,1.68,95.17,0.31
93,castor seed,1997,whole year,west bengal,1852.9,0.07,95.17,0.31
95,cotton(lint),1997,kharif,west bengal,1852.9,2.0,95.17,0.31
96,dry chillies,1997,whole year,west bengal,1852.9,0.942777778,95.17,0.31
97,gram,1997,rabi,west bengal,1852.9,0.5975,95.17,0.31
98,groundnut,1997,whole year,west bengal,1852.9,1.13,95.16999999999999,0.31
99,horse-gram,1997,kharif,west bengal,1852.9,0.438888889,95.17,0.31
100,jowar,1997,whole year,west bengal,1852.9,0.482,95.17,0.31
101,jute,1997,kharif,west bengal,1852.9,13.44588235,95.17,0.31
102,khesari,1997,rabi,west bengal,1852.9,1.095882353,95.17,0.31
103,linseed,1997,whole year,west bengal,1852.9,0.251538462,95.17,0.31
104,maize,1997,whole year,west bengal,1852.9,2.658461538,95.17,0.31
105,masoor,1997,rabi,west bengal,1852.9,0.662352941,95.17,0.31
106,mesta,1997,kharif,west bengal,1852.9,9.154166667,95.17,0.31
107,moong(green gram),1997,kharif,west bengal,1852.9,0.548888889,95.16999999999999,0.31
108,moong(green gram),1997,rabi,west bengal,1852.9,0.542857143,95.16999999999999,0.31
109,moong(green gram),1997,summer,west bengal,1852.9,0.046,95.17,0.31
110,niger seed,1997,rabi,west bengal,1852.9,0.698888889,95.17,0.31
111,niger seed,1997,whole year,west bengal,1852.9,0.40375,95.17,0.31
112,other kharif pulses,1997,kharif,west bengal,1852.9,0.585,95.16999999999999,0.31
113,potato,1997,whole year,west bengal,1852.9,18.23722222,95.17,0.31
114,ragi,1997,autumn,west bengal,1852.9,0.986,95.17,0.31
115,rapeseed &mustard,1997,whole year,west bengal,1852.9,0.718333333,95.17,0.31
116,rice,1997,autumn,west bengal,1852.9,1.837222222,95.17,0.31
117,rice,1997,summer,west bengal,1852.9,2.843888889,95.16999997514147,0.31
118,rice,1997,winter,west bengal,1852.9,1.985555556,95.17000000936696,0.31
119,safflower,1997,whole year,west bengal,1852.9,0.2975,95.17,0.31
120,sannhamp,1997,whole year,west bengal,1852.9,4.598571429,95.16999999999999,0.31
121,sesamum,1997,whole year,west bengal,1852.9,0.649444444,95.17,0.31
122,small millets,1997,whole year,west bengal,1852.9,0.626666667,95.17,0.31
123,soyabean,1997,kharif,west bengal,1852.9,1.196666667,95.17,0.31
124,sugarcane,1997,whole year,west bengal,1852.9,67.83625,95.17,0.31
126,turmeric,1997,whole year,west bengal,1852.9,1.661111111,95.17,0.31
127,urad,1997,kharif,west bengal,1852.9,1.825,95.17,0.31
128,urad,1997,rabi,west bengal,1852.9,0.628333333,95.17,0.31
129,wheat,1997,rabi,west bengal,1852.9,1.886666667,95.17,0.31
131,bajra,1998,kharif,puducherry,1434.5875,2.17,98.80000000000001,0.29
132,black pepper,1998,kharif,puducherry,1434.5875,0.58,98.8,0.29
133,coriander,1998,kharif,puducherry,1434.5875,0.5,98.8,0.29
134,cotton(lint),1998,summer,puducherry,1434.5875,0.84,98.8,0.29000000000000004
135,dry chillies,1998,kharif,puducherry,1434.5875,2.75,98.8,0.29
136,groundnut,1998,rabi,puducherry,1434.5875,1.54,98.8,0.29
137,onion,1998,kharif,puducherry,1434.5875,16.5,98.80000000000001,0.29
138,ragi,1998,kharif,puducherry,1434.5875,3.27,98.8,0.29
139,rice,1998,kharif,puducherry,1434.5875,2.46,98.8,0.29
140,rice,1998,rabi,puducherry,1434.5875,2.555,98.8,0.29
141,rice,1998,summer,puducherry,1434.5875,2.55,98.80000000000001,0.29000000000000004
142,sesamum,1998,kharif,puducherry,1434.5875,0.806666667,98.8,0.29000000000000004
143,small millets,1998,kharif,puducherry,1434.5875,0.75,98.8,0.29
144,sugarcane,1998,kharif,puducherry,1434.5875,82.595,98.8,0.29
145,tapioca,1998,kharif,puducherry,1434.5875,20.0,98.8,0.29000000000000004
147,arhar/tur,1998,kharif,assam,2354.4,0.709130435,98.8,0.29000000000000004
148,banana,1998,whole year,assam,2354.4,13.78826087,98.8,0.29
149,castor seed,1998,kharif,assam,2354.4,0.411428571,98.8,0.29
151,cotton(lint),1998,kharif,assam,2354.4,0.399130435,98.8,0.29
152,dry chillies,1998,whole year,assam,2354.4,0.636956522,98.8,0.29
153,gram,1998,rabi,assam,2354.4,0.460454545,98.8,0.29000000000000004
154,jute,1998,kharif,assam,2354.4,9.040869565,98.8,0.29000000000000004
155,linseed,1998,rabi,assam,2354.4,0.480909091,98.8,0.29000000000000004
156,maize,1998,kharif,assam,2354.4,0.608695652,98.8,0.29
157,mesta,1998,kharif,assam,2354.4,4.9105,98.8,0.29000000000000004
158,niger seed,1998,kharif,assam,2354.4,0.520555556,98.8,0.29
159,onion,1998,whole year,assam,2354.4,2.340434783,98.8,0.29000000000000004
160,other  rabi pulses,1998,rabi,assam,2354.4,0.50826087,98.80000000000001,0.29
161,potato,1998,whole year,assam,2354.4,7.230434783,98.80000000000001,0.29
162,rapeseed &mustard,1998,rabi,assam,2354.4,0.473478261,98.8,0.29000000000000004
163,rice,1998,autumn,assam,2354.4,1.055652174,98.80000000000001,0.29
164,rice,1998,summer,assam,2354.4,1.685217391,98.8,0.29
165,rice,1998,winter,assam,2354.4,1.395652174,98.8,0.29
166,sesamum,1998,kharif,assam,2354.4,0.485217391,98.8,0.29000000000000004
167,small millets,1998,kharif,assam,2354.4,0.521363636,98.8,0.29000000000000004
168,sugarcane,1998,whole year,assam,2354.4,39.89304348,98.8,0.29
169,sweet potato,1998,whole year,assam,2354.4,3.435652174,98.8,0.29000000000000004
170,tapioca,1998,whole year,assam,2354.4,4.445217391,98.80000000000001,0.29
171,tobacco,1998,whole year,assam,2354.4,0.569545455,98.8,0.29000000000000004
172,turmeric,1998,whole year,assam,2354.4,0.666956522,98.8,0.29
173,wheat,1998,rabi,assam,2354.4,0.999545455,98.80000000000001,0.29
175,banana,1998,whole year,goa,2964.9,7.58,98.8,0.29
176,black pepper,1998,whole year,goa,2964.9,0.28,98.8,0.29
177,cashewnut,1998,whole year,goa,2964.9,0.28,98.8,0.29
179,groundnut,1998,kharif,goa,2964.9,1.18,98.8,0.29
180,groundnut,1998,rabi,goa,2964.9,2.03,98.8,0.29000000000000004
181,other  rabi pulses,1998,rabi,goa,2964.9,1.06,98.80000000000001,0.29000000000000004
182,other kharif pulses,1998,kharif,goa,2964.9,0.27,98.8,0.29
183,ragi,1998,kharif,goa,2964.9,0.99,98.8,0.29
184,rice,1998,kharif,goa,2964.9,2.54,98.8,0.29
185,rice,1998,rabi,goa,2964.9,3.04,98.8,0.29000000000000004
186,sugarcane,1998,whole year,goa,2964.9,48.48,98.8,0.29000000000000004
188,arhar/tur,1998,kharif,karnataka,1260.8,0.400833333,98.8,0.29
189,bajra,1998,kharif,karnataka,1260.8,0.601764706,98.8,0.29
190,bajra,1998,rabi,karnataka,1260.8,1.19,98.80000000000001,0.29
191,bajra,1998,summer,karnataka,1260.8,0.59,98.8,0.29
192,black pepper,1998,whole year,karnataka,1260.8,2.238,98.8,0.29
193,cardamom,1998,whole year,karnataka,1260.8,0.06,98.8,0.29000000000000004
194,castor seed,1998,kharif,karnataka,1260.8,0.831818182,98.8,0.29
196,coriander,1998,whole year,karnataka,1260.8,0.118,98.8,0.29
197,cotton(lint),1998,kharif,karnataka,1260.8,1.556521739,98.8,0.29
198,dry chillies,1998,whole year,karnataka,1260.8,1.123703704,98.8,0.29000000000000004
199,garlic,1998,whole year,karnataka,1260.8,1.459411765,98.8,0.29000000000000004
200,ginger,1998,kharif,karnataka,1260.8,12.75944444,98.8,0.29
201,gram,1998,rabi,karnataka,1260.8,0.573478261,98.8,0.29
202,groundnut,1998,kharif,karnataka,1260.8,0.8568,98.8,0.29000000000000004
203,groundnut,1998,rabi,karnataka,1260.8,1.3052,98.8,0.29000000000000004
204,horse-gram,1998,kharif,karnataka,1260.8,0.504615385,98.8,0.29000000000000004
205,horse-gram,1998,rabi,karnataka,1260.8,0.4492,98.8,0.29000000000000004
206,jowar,1998,kharif,karnataka,1260.8,1.305714286,98.8,0.29000000000000004
207,jowar,1998,rabi,karnataka,1260.8,0.7235,98.8,0.29
208,jowar,1998,summer,karnataka,1260.8,2.461333333,98.8,0.29000000000000004
209,linseed,1998,rabi,karnataka,1260.8,0.315,98.8,0.29
210,maize,1998,kharif,karnataka,1260.8,3.366,98.8,0.29000000000000004
211,maize,1998,rabi,karnataka,1260.8,1.97952381,98.8,0.29
212,maize,1998,summer,karnataka,1260.8,2.241904762,98.8,0.29
213,moong(green gram),1998,kharif,karnataka,1260.8,0.180769231,98.8,0.29000000000000004
214,moong(green gram),1998,rabi,karnataka,1260.8,0.438823529,98.80000000000001,0.29
215,niger seed,1998,kharif,karnataka,1260.8,0.214782609,98.8,0.29000000000000004
216,onion,1998,kharif,karnataka,1260.8,5.363636364,98.8,0.29
217,onion,1998,rabi,karnataka,1260.8,8.936315789,98.8,0.29000000000000004
218,onion,1998,summer,karnataka,1260.8,11.86631579,98.8,0.29000000000000004
219,peas & beans (pulses),1998,kharif,karnataka,1260.8,9.265882353,98.8,0.29
220,peas & beans (pulses),1998,rabi,karnataka,1260.8,8.948181818,98.8,0.29
221,peas & beans (pulses),1998,summer,karnataka,1260.8,7.827,98.8,0.29
222,potato,1998,kharif,karnataka,1260.8,12.37333333,98.8,0.29000000000000004
223,potato,1998,rabi,karnataka,1260.8,18.90714286,98.80000000000001,0.29000000000000004
224,potato,1998,summer,karnataka,1260.8,17.6,98.80000000000001,0.29000000000000004
225,potato,1998,whole year,karnataka,1260.8,14.59,98.80000000000001,0.29
226,ragi,1998,kharif,karnataka,1260.8,1.418,98.80000000000001,0.29
227,ragi,1998,rabi,karnataka,1260.8,1.361,98.8,0.29
228,ragi,1998,summer,karnataka,1260.8,2.239230769,98.8,0.29
229,rapeseed &mustard,1998,kharif,karnataka,1260.8,0.210625,98.8,0.29000000000000004
230,rice,1998,kharif,karnataka,1260.8,2.310740741,98.80000000000001,0.29
231,rice,1998,rabi,karnataka,1260.8,2.054285714,98.8,0.29000000000000004
232,rice,1998,summer,karnataka,1260.8,2.99375,98.8,0.29
233,safflower,1998,rabi,karnataka,1260.8,0.616428571,98.8,0.29
234,sesamum,1998,kharif,karnataka,1260.8,0.417307692,98.8,0.29
235,soyabean,1998,kharif,karnataka,1260.8,1.060588235,98.8,0.29000000000000004
236,sunflower,1998,kharif,karnataka,1260.8,0.382608696,98.8,0.29
237,sunflower,1998,rabi,karnataka,1260.8,0.390416667,98.80000000000001,0.29
238,sunflower,1998,summer,karnataka,1260.8,0.595217391,98.8,0.29
239,turmeric,1998,whole year,karnataka,1260.8,4.682380952,98.8,0.29
240,wheat,1998,rabi,karnataka,1260.8,0.848823529,98.8,0.29000000000000004
242,banana,1998,whole year,kerala,3151.5,12.85714286,98.8,0.29
243,black pepper,1998,whole year,kerala,3151.5,0.261428571,98.8,0.29
244,cardamom,1998,whole year,kerala,3151.5,0.045555556,98.80000000000001,0.29
245,cashewnut,1998,whole year,kerala,3151.5,0.484285714,98.8,0.29000000000000004
247,cotton(lint),1998,kharif,kerala,3151.5,1.61,98.8,0.29
248,dry chillies,1998,whole year,kerala,3151.5,0.937777778,98.8,0.29
249,garlic,1998,whole year,kerala,3151.5,17.0,98.80000000000001,0.29000000000000004
250,ginger,1998,whole year,kerala,3151.5,2.93,98.80000000000001,0.29000000000000004
251,groundnut,1998,kharif,kerala,3151.5,0.62,98.80000000000001,0.29
252,jowar,1998,kharif,kerala,3151.5,0.505,98.8,0.29000000000000004
253,ragi,1998,kharif,kerala,3151.5,0.81,98.80000000000001,0.29
254,rice,1998,autumn,kerala,3151.5,1.856923077,98.8,0.29
255,rice,1998,summer,kerala,3151.5,2.116153846,98.8,0.29
256,rice,1998,winter,kerala,3151.5,1.937142857,98.8,0.29
257,sesamum,1998,kharif,kerala,3151.5,0.467272727,98.80000000000001,0.29
258,sugarcane,1998,whole year,kerala,3151.5,64.83,98.8,0.29000000000000004
259,sweet potato,1998,whole year,kerala,3151.5,11.718,98.8,0.29
260,tapioca,1998,whole year,kerala,3151.5,25.51785714,98.8,0.29
261,tobacco,1998,whole year,kerala,3151.5,5.56,98.80000000000001,0.29000000000000004
262,turmeric,1998,whole year,kerala,3151.5,1.997857143,98.8,0.29
289,arhar/tur,1998,kharif,west bengal,2152.5,0.756923077,98.8,0.29
290,bajra,1998,kharif,west bengal,2152.5,0.436666667,98.8,0.29
291,barley,1998,rabi,west bengal,2152.5,1.10375,98.8,0.29
292,cardamom,1998,whole year,west bengal,2152.5,0.24,98.8,0.29
293,castor seed,1998,rabi,west bengal,2152.5,0.7,98.8,0.29
295,cotton(lint),1998,kharif,west bengal,2152.5,0.37,98.8,0.29
296,dry chillies,1998,whole year,west bengal,2152.5,0.890555556,98.8,0.29
297,ginger,1998,kharif,west bengal,2152.5,1.449444444,98.8,0.29
298,gram,1998,rabi,west bengal,2152.5,0.875,98.8,0.29
299,groundnut,1998,whole year,west bengal,2152.5,1.128571429,98.8,0.29000000000000004
300,horse-gram,1998,rabi,west bengal,2152.5,0.422,98.80000000000001,0.29
301,jowar,1998,kharif,west bengal,2152.5,0.465,98.8,0.29
302,jute,1998,kharif,west bengal,2152.5,13.24705882,98.8,0.29000000000000004
303,khesari,1998,rabi,west bengal,2152.5,0.774666667,98.8,0.29
304,linseed,1998,rabi,west bengal,2152.5,0.24,98.8,0.29
305,maize,1998,kharif,west bengal,2152.5,2.634,98.80000000000001,0.29
306,masoor,1998,rabi,west bengal,2152.5,0.600588235,98.8,0.29
307,mesta,1998,kharif,west bengal,2152.5,8.453846154,98.80000000000001,0.29
308,moong(green gram),1998,kharif,west bengal,2152.5,0.5075,98.80000000000001,0.29
309,moong(green gram),1998,rabi,west bengal,2152.5,0.61,98.80000000000001,0.29
310,moong(green gram),1998,summer,west bengal,2152.5,0.312857143,98.8,0.29000000000000004
311,niger seed,1998,kharif,west bengal,2152.5,0.4075,98.8,0.29
312,other kharif pulses,1998,kharif,west bengal,2152.5,0.516,98.8,0.29
313,peas & beans (pulses),1998,rabi,west bengal,2152.5,0.70625,98.8,0.29
314,potato,1998,whole year,west bengal,2152.5,18.95944444,98.8,0.29000000000000004
315,ragi,1998,kharif,west bengal,2152.5,0.91,98.8,0.29000000000000004
316,rapeseed &mustard,1998,rabi,west bengal,2152.5,0.667222222,98.8,0.29000000000000004
317,rice,1998,autumn,west bengal,2152.5,1.751111111,98.8,0.29
318,rice,1998,summer,west bengal,2152.5,3.22,98.8,0.29
319,rice,1998,winter,west bengal,2152.5,1.781666667,98.8,0.29000000000000004
320,safflower,1998,rabi,west bengal,2152.5,0.4575,98.8,0.29
321,sannhamp,1998,whole year,west bengal,2152.5,4.971428571,98.8,0.29
322,sesamum,1998,whole year,west bengal,2152.5,0.741111111,98.8,0.29
323,small millets,1998,kharif,west bengal,2152.5,0.575714286,98.8,0.29000000000000004
324,small millets,1998,rabi,west bengal,2152.5,1.035,98.8,0.29
325,soyabean,1998,kharif,west bengal,2152.5,0.481666667,98.8,0.29
326,sugarcane,1998,whole year,west bengal,2152.5,75.314375,98.80000000000001,0.29
327,sunflower,1998,kharif,west bengal,2152.5,0.71,98.80000000000001,0.29
328,turmeric,1998,whole year,west bengal,2152.5,1.569444444,98.8,0.29
329,urad,1998,kharif,west bengal,2152.5,0.402222222,98.80000000000001,0.29
330,urad,1998,rabi,west bengal,2152.5,0.649090909,98.80000000000001,0.29
331,wheat,1998,rabi,west bengal,2152.5,1.870555556,98.8,0.29000000000000004
333,arhar/tur,1999,kharif,assam,2201.8,0.707826087,106.13,0.27
334,banana,1999,whole year,assam,2201.8,13.74652174,106.13000000000001,0.27
335,castor seed,1999,kharif,assam,2201.8,0.423333333,106.13000000000001,0.26999999999999996
337,cotton(lint),1999,kharif,assam,2201.8,0.41173913,106.13,0.27
338,dry chillies,1999,whole year,assam,2201.8,0.636956522,106.13000000000001,0.27
339,gram,1999,rabi,assam,2201.8,0.470454545,106.13,0.27
340,jute,1999,kharif,assam,2201.8,9.13173913,106.13,0.27
341,linseed,1999,rabi,assam,2201.8,0.502727273,106.13,0.27
342,maize,1999,kharif,assam,2201.8,0.613913043,106.13,0.27
343,mesta,1999,kharif,assam,2201.8,4.622380952,106.13,0.27
344,niger seed,1999,kharif,assam,2201.8,0.548947368,106.13,0.27
345,onion,1999,whole year,assam,2201.8,2.322173913,106.13,0.27
346,other  rabi pulses,1999,rabi,assam,2201.8,0.532173913,106.13000000000001,0.27
347,potato,1999,whole year,assam,2201.8,8.062608696,106.13000000000001,0.26999999999999996
348,rapeseed &mustard,1999,rabi,assam,2201.8,0.479565217,106.13,0.27
349,rice,1999,autumn,assam,2201.8,1.094782609,106.13000000000001,0.26999999999999996
350,rice,1999,summer,assam,2201.8,1.990434783,106.13,0.27
351,rice,1999,winter,assam,2201.8,1.501304348,106.12999998885168,0.27
352,sesamum,1999,kharif,assam,2201.8,0.485217391,106.13000000000001,0.27
353,small millets,1999,kharif,assam,2201.8,0.502727273,106.13000000000001,0.26999999999999996
354,sugarcane,1999,whole year,assam,2201.8,40.43478261,106.13000000000001,0.27
355,sweet potato,1999,whole year,assam,2201.8,3.409130435,106.13000000000001,0.26999999999999996
356,tapioca,1999,whole year,assam,2201.8,4.436521739,106.13,0.27
357,tobacco,1999,whole year,assam,2201.8,0.573913043,106.13,0.26999999999999996
358,turmeric,1999,whole year,assam,2201.8,0.667391304,106.13,0.27
359,wheat,1999,rabi,assam,2201.8,1.256818182,106.13,0.27
361,banana,1999,whole year,goa,3879.3,7.44,106.13,0.27
362,black pepper,1999,whole year,goa,3879.3,0.44,106.13,0.27
363,cashewnut,1999,whole year,goa,3879.3,0.32,106.13,0.27
365,groundnut,1999,kharif,goa,3879.3,1.47,106.13,0.27
366,groundnut,1999,rabi,goa,3879.3,1.76,106.13000000000001,0.26999999999999996
367,other  rabi pulses,1999,rabi,goa,3879.3,0.91,106.13,0.27
368,other kharif pulses,1999,kharif,goa,3879.3,0.58,106.13,0.27
369,ragi,1999,kharif,goa,3879.3,1.07,106.13,0.27
370,rice,1999,kharif,goa,3879.3,2.38,106.13,0.27
371,rice,1999,rabi,goa,3879.3,2.69,106.13,0.27
372,sugarcane,1999,whole year,goa,3879.3,51.27,106.13,0.27
374,banana,1999,whole year,kerala,2914.6,10.36285714,106.13,0.27
375,black pepper,1999,whole year,kerala,2914.6,0.193571429,106.13000000000001,0.27
376,cardamom,1999,whole year,kerala,2914.6,0.056666667,106.13,0.27
377,cashewnut,1999,whole year,kerala,2914.6,0.491428571,106.13000000000001,0.27
379,cotton(lint),1999,kharif,kerala,2914.6,1.61,106.13,0.27
380,dry chillies,1999,whole year,kerala,2914.6,0.975,106.13,0.26999999999999996
381,garlic,1999,whole year,kerala,2914.6,17.0,106.13,0.26999999999999996
382,ginger,1999,whole year,kerala,2914.6,3.159285714,106.13000000000001,0.27
383,groundnut,1999,kharif,kerala,2914.6,0.37,106.13,0.27
384,jowar,1999,kharif,kerala,2914.6,0.255,106.13000000000001,0.27
385,ragi,1999,kharif,kerala,2914.6,0.815,106.13000000000001,0.27
386,rice,1999,autumn,kerala,2914.6,2.081538462,106.13,0.27
387,rice,1999,summer,kerala,2914.6,2.292857143,106.13000000000001,0.27
388,rice,1999,winter,kerala,2914.6,2.097142857,106.13000000000001,0.26999999999999996
389,sesamum,1999,kharif,kerala,2914.6,0.374545455,106.13,0.27
390,sugarcane,1999,whole year,kerala,2914.6,88.2225,106.13000000000001,0.26999999999999996
391,sweet potato,1999,whole year,kerala,2914.6,11.79636364,106.13000000000001,0.26999999999999996
392,tapioca,1999,whole year,kerala,2914.6,24.25785714,106.13,0.26999999999999996
393,tobacco,1999,whole year,kerala,2914.6,5.57,106.13000000000001,0.27
394,turmeric,1999,whole year,kerala,2914.6,1.999285714,106.13,0.27
418,bajra,1999,kharif,puducherry,1434.5875,2.76,106.13,0.27
419,banana,1999,whole year,puducherry,1434.5875,29.25,106.13,0.27
420,black pepper,1999,whole year,puducherry,1434.5875,0.58,106.13,0.27
421,cashewnut,1999,whole year,puducherry,1434.5875,2.69,106.13,0.27
423,coriander,1999,whole year,puducherry,1434.5875,0.67,106.13,0.27
424,cotton(lint),1999,kharif,puducherry,1434.5875,5.14,106.13000000000001,0.27
425,dry chillies,1999,whole year,puducherry,1434.5875,3.305,106.13000000000001,0.27
426,ginger,1999,kharif,puducherry,1434.5875,0.676666667,106.13000000000001,0.26999999999999996
427,groundnut,1999,kharif,puducherry,1434.5875,2.125,106.13000000000001,0.27
428,jowar,1999,kharif,puducherry,1434.5875,1.0,106.13,0.27
429,moong(green gram),1999,rabi,puducherry,1434.5875,0.553333333,106.13000000000001,0.26999999999999996
430,onion,1999,whole year,puducherry,1434.5875,13.07,106.13,0.26999999999999996
431,other  rabi pulses,1999,rabi,puducherry,1434.5875,1.333333333,106.13,0.27
432,ragi,1999,kharif,puducherry,1434.5875,3.325,106.13000000000001,0.26999999999999996
433,rapeseed &mustard,1999,rabi,puducherry,1434.5875,6.023333333,106.13,0.27
434,rice,1999,kharif,puducherry,1434.5875,2.61,106.13000000000001,0.27
435,sugarcane,1999,whole year,puducherry,1434.5875,83.0,106.13,0.27
